package,version,build
pystac-client,0.8.1,pyhd8ed1ab_0
pystac,1.10.1,pyhd8ed1ab_0
pytables,3.7.0,py310haee3a42_3
pytest,8.2.2,pyhd8ed1ab_0
python_abi,3.10,4_cp310
python-box,7.2.0,py310ha8f682b_0
python-dateutil,2.9.0,pyhd8ed1ab_0
python-duckdb,1.0.0,py310h9e98ed7_0
python-fastjsonschema,2.20.0,pyhd8ed1ab_0
python-geotiepoints,1.7.3,py310hb0944cc_0
python-graphviz,0.20.3,pyh717bed2_0
python-igraph,0.11.5,py310h68d9e46_1
python-json-logger,2.0.7,pyhd8ed1ab_0
python-rapidjson,1.17,py310h9e98ed7_0
python-slugify,8.0.4,pyhd8ed1ab_0
python-tzdata,2024.1,pyhd8ed1ab_0
python-utils,3.8.2,pyhd8ed1ab_0
python,3.10.13,h4de0772_0_cpython
pythreejs,2.4.2,pyh1d7be83_0
pytimeparse,1.1.8,py_0
pytorch-mutex,1.0,cpu
pytorch,2.3.1,py3.10_cpu_0
pytz,2024.1,pyhd8ed1ab_0
pyu2f,0.1.5,pyhd8ed1ab_0
pyvista,0.43.10,pyhd8ed1ab_0
pyviz_comms,3.0.2,pyhd8ed1ab_1
pywavelets,1.4.1,py310h3e78b6c_1
pywin32,306,py310h00ffb61_2
pywinpty,2.0.13,py310h00ffb61_0
pyyaml,6.0.1,py310h8d17308_1
pyzmq,26.0.3,py310h656833d_0
qt-main,5.15.8,h720456b_6
quantecon,0.7.2,pyhd8ed1ab_0
quilt3,5.4.0,pyhd8ed1ab_0
rasterio,1.2.10,py310h8cfb04a_7
rasterstats,0.19.0,pyhd8ed1ab_0
ratelim,0.1.6,py_2
re2,2023.03.02,hd4eee63_0
reacton,1.8.3,pyhd8ed1ab_0
rechunker,0.5.2,pyhd8ed1ab_1
referencing,0.35.1,pyhd8ed1ab_0
regex,2024.5.15,py310ha8f682b_0
reproc-cpp,14.2.4.post0,h63175ca_1
reproc,14.2.4.post0,hcfcfb64_1
reproject,0.13.1,py310hb0944cc_1
requests-file,2.1.0,pyhd8ed1ab_0
requests-futures,1.0.0,pyh9f0ad1d_2
requests-oauthlib,2.0.0,pyhd8ed1ab_0
requests-toolbelt,1.0.0,pyhd8ed1ab_0
requests,2.32.3,pyhd8ed1ab_0
retriever,3.0.0,py_0
retry,0.9.2,py_0
retrying,1.3.3,py_2
rfc3339-validator,0.1.4,pyhd8ed1ab_0
rfc3986-validator,0.1.1,pyh9f0ad1d_0
rich-click,1.8.3,pyhd8ed1ab_0
rich,13.7.1,pyhd8ed1ab_0
richdem,2.3.0,py310he0be1dd_3
rios,2.0.2,pyhecae5ae_0
rioxarray,0.15.0,pyhd8ed1ab_0
rpds-py,0.18.1,py310hc226416_0
rsa,4.9,pyhd8ed1ab_0
rsgislib,5.0.11,py310h547e4fc_3
rtree,1.2.0,py310h08d5ad2_1
ruamel.yaml.clib,0.2.8,py310h8d17308_0
ruamel.yaml,0.17.40,py310h8d17308_0
s3fs,0.4.2,py_0
s3transfer,0.10.1,pyhd8ed1ab_0
sankee,0.2.5,pyhd8ed1ab_0
satpy,0.49.0,pyhd8ed1ab_0
scikit-gstat,1.0.16,py310h5588dad_1
scikit-image,0.24.0,py310hbbd805c_0
scikit-learn,1.5.0,py310hf2a6c47_1
scikit-mobility,1.3.1,pyh6c4a22f_0
scikit-spatial,7.2.0,pyhd8ed1ab_0
scikit-surprise,1.1.4,py310h4df5e4a_1
scipy,1.11.4,py310hf667824_0
scooby,0.10.0,pyhd8ed1ab_0
seaborn-base,0.13.2,pyhd8ed1ab_2
seaborn,0.13.2,hd8ed1ab_2
segregation,2.5,pyhd8ed1ab_1
semantic_version,2.10.0,pyhd8ed1ab_0
send2trash,1.8.3,pyh5737063_0
sentinelhub,3.10.2,pyhd8ed1ab_0
sentinelsat,1.2.1,pyhd8ed1ab_0
setuptools_scm,8.1.0,hd8ed1ab_0
setuptools-scm,8.1.0,pyhd8ed1ab_0
setuptools,70.1.0,pyhd8ed1ab_0
sgkit,0.8.0,pyhd8ed1ab_0
shapely,1.8.5,py310h3734685_1
shellingham,1.5.4,pyhd8ed1ab_0
simplejson,3.19.2,py310h8d17308_0
simpy,4.1.1,pyhd8ed1ab_0
sip,6.7.12,py310h00ffb61_0
six,1.16.0,pyh6c4a22f_0
smart_open,6.4.0,pyhd8ed1ab_0
snappy,1.1.10,hfb803bf_1
sniffio,1.3.1,pyhd8ed1ab_0
snorkel,0.7.0,py_1
snuggs,1.4.7,py_0
solara-server,1.33.0,pyhff2d567_0
solara-ui,1.33.0,pyhd8ed1ab_0
solara,1.33.0,pyhd8ed1ab_0
sortedcontainers,2.4.0,pyhd8ed1ab_0
soupsieve,2.5,pyhd8ed1ab_1
spacy-legacy,3.0.12,pyhd8ed1ab_0
spacy-loggers,1.0.5,pyhd8ed1ab_0
spacy,3.7.4,py310h82564ac_0
spaghetti,1.7.5.post1,pyhd8ed1ab_0
sparse,0.15.4,pyhd8ed1ab_0
spatialist,0.13.1,pyhd8ed1ab_0
spatialpandas,0.4.10,pyhd8ed1ab_1
spectral,0.23.1,pyh1a96a4e_0
spglm,1.1.0,pyhd8ed1ab_1
spiceypy,6.0.0,pyhd8ed1ab_0
spint,1.0.7,pyhd8ed1ab_1
splot,1.1.5.post1,pyhd8ed1ab_0
spopt,0.5.0,pyhd8ed1ab_2
spreg,1.4.2,pyhd8ed1ab_0
spvcm,0.3.0,pyhd8ed1ab_1
spyder-kernels,2.5.2,win_pyh7428d3b_0
sqlalchemy-utils-arrow,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-babel,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-base,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-color,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-encrypted,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-intervals,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-password,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-pendulum,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-phone,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-timezone,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils-url,0.41.2,pyhd8ed1ab_0
sqlalchemy-utils,0.41.2,pyhd8ed1ab_0
sqlalchemy,1.4.49,py310h8d17308_1
sqlglot,25.2.0,pyhd8ed1ab_0
sqlite,3.46.0,h2466b09_0
sqlparse,0.5.0,pyhd8ed1ab_0
srsly,2.4.8,py310h00ffb61_1
stack_data,0.6.2,pyhd8ed1ab_0
starlette,0.37.2,pyhd8ed1ab_0
stateplane,0.5.0,pyhd8ed1ab_0
statsmodels,0.14.2,py310hb0944cc_0
stopit,1.1.2,py_0
streamz,0.6.4,pyh6c4a22f_0
sunpy,5.1.4,py310h3bcd3f7_0
svt-av1,1.4.1,h63175ca_0
sympy,1.12.1,pyh04b8f61_3
tabulate,0.9.0,pyhd8ed1ab_1
tbb-devel,2021.12.0,hb551fcf_1
tbb,2021.12.0,hc790b64_1
tblib,3.0.0,pyhd8ed1ab_0
tenacity,8.4.1,pyhd8ed1ab_0
terminado,0.18.1,pyh5737063_0
text-unidecode,1.3,pyhd8ed1ab_1
texttable,1.7.0,pyhd8ed1ab_0
thinc,8.2.3,py310h82564ac_0
threadpoolctl,3.5.0,pyhc1e730c_0
tifffile,2022.10.10,pyhd8ed1ab_0
tiledb,2.11.3,h3132609_1
time-machine,2.14.1,py310h8d17308_0
tinycss2,1.3.0,pyhd8ed1ab_0
tk,8.6.13,h5226925_1
tobler,0.11.2,pyhd8ed1ab_2
toml,0.10.2,pyhd8ed1ab_0
tomli-w,1.0.0,pyhd8ed1ab_0
tomli,2.0.1,pyhd8ed1ab_0
toolz,0.12.1,pyhd8ed1ab_0
torchaudio,2.3.1,py310_cpu
torchvision,0.18.1,py310_cpu
tornado,6.4.1,py310ha8f682b_0
tpot,0.12.2,pyhd8ed1ab_0
tqdm,4.66.4,pyhd8ed1ab_0
traitlets,5.14.3,pyhd8ed1ab_0
traittypes,0.2.1,pyh9f0ad1d_2
trollimage,1.23.2,py310hb4db72f_1
trollsift,0.5.1,pyhd8ed1ab_0
trove-classifiers,2024.5.22,pyhd8ed1ab_0
typer,0.9.4,pyhd8ed1ab_0
types-python-dateutil,2.9.0.20240316,pyhd8ed1ab_0
typing_extensions,4.12.2,pyha770c72_0
typing_inspect,0.9.0,pyhd8ed1ab_0
typing_utils,0.1.0,pyhd8ed1ab_0
typing-extensions,4.12.2,hd8ed1ab_0
tzdata,2024a,h0c530f3_0
tzlocal,5.2,py310h5588dad_0
uc-micro-py,1.0.3,pyhd8ed1ab_0
ucrt,10.0.22621.0,h57928b3_0
umap-learn,0.5.5,py310h5588dad_1
unicodedata2,15.1.0,py310h8d17308_0
update_checker,0.18.0,pyh9f0ad1d_0
urbanaccess,0.2.2,pyhd3deb0d_0
urbansim,3.2,pyh9f0ad1d_0
uri-template,1.3.0,pyhd8ed1ab_0
uriparser,0.9.8,h5a68840_0
uritemplate,4.1.1,pyhd8ed1ab_0
urllib3,1.26.19,pyhd8ed1ab_0
utfcpp,4.0.5,h57928b3_0
utm,0.7.0,pyhd8ed1ab_0
uvicorn,0.30.1,py310h5588dad_0
vaex-arrow,0.4.2,py_1
vaex-astro,0.9.3,pyhd8ed1ab_0
vaex-core,4.17.1,py310hbef7eae_0
vaex-hdf5,0.14.1,pyhd8ed1ab_0
vaex-jupyter,0.8.1,pyhd8ed1ab_0
vaex-ml,0.18.1,pyhd8ed1ab_0
vaex-viz,0.5.4,pyhd8ed1ab_0
vc,14.3,h8a93ad2_20
vc14_runtime,14.40.33810,ha82c5b3_20
verde,1.8.1,pyhd8ed1ab_0
vs2015_runtime,14.40.33810,h3bf8584_20
vtk,9.2.2,qt_py310h01c2d33_200
wasabi,1.1.2,py310h5588dad_1
watchdog,4.0.1,py310h5588dad_0
watchfiles,0.22.0,py310hc226416_0
wcwidth,0.2.13,pyhd8ed1ab_0
weasel,0.3.4,pyhd8ed1ab_0
webcolors,24.6.0,pyhd8ed1ab_0
webencodings,0.5.1,pyhd8ed1ab_2
websocket-client,1.8.0,pyhd8ed1ab_0
websockets,10.4,py310h8d17308_1
wheel,0.43.0,pyhd8ed1ab_1
whitebox,2.3.4,pyhd8ed1ab_0
whiteboxgui,2.3.0,pyhd8ed1ab_0
widgetsnbextension,4.0.11,pyhd8ed1ab_0
win_inet_pton,1.1.0,pyhd8ed1ab_6
win32_setctime,1.1.0,pyhd8ed1ab_0
winpty,0.4.3,4
woodwork,0.31.0,pyhd8ed1ab_0
x264,1!164.3095,h8ffe710_2
x265,3.5,h2d74725_3
xarray-spatial,0.4.0,pyhd8ed1ab_0
xarray,2024.6.0,pyhd8ed1ab_1
xerces-c,3.2.5,h63175ca_0
xgboost,2.0.3,cpu_pyhb8f9a19_4
xlrd,2.0.1,pyhd8ed1ab_3
xlsxwriter,3.1.9,pyhd8ed1ab_0
xorg-kbproto,1.0.7,hcd874cb_1002
xorg-libice,1.0.10,hcd874cb_0
xorg-libsm,1.2.3,hcd874cb_1000
xorg-libx11,1.8.4,hcd874cb_0
xorg-libxau,1.0.11,hcd874cb_0
xorg-libxdmcp,1.1.3,hcd874cb_0
xorg-libxext,1.3.4,hcd874cb_2
xorg-libxpm,3.5.16,hcd874cb_0
xorg-libxt,1.3.0,hcd874cb_0
xorg-xextproto,7.3.0,hcd874cb_1003
xorg-xproto,7.0.31,hcd874cb_1007
xyzservices,2024.6.0,pyhd8ed1ab_0
xz,5.2.6,h8d14728_0
yaml-cpp,0.7.0,h63175ca_3
yaml,0.2.5,h8ffe710_2
yarl,1.9.4,py310h8d17308_0
yellowbrick,1.5,pyhd8ed1ab_0
zarr,2.18.2,pyhd8ed1ab_0
zeep,4.2.1,pyh1a96a4e_0
zeromq,4.3.5,he0c23c2_3
zfp,1.0.1,h63175ca_0
zict,3.0.0,pyhd8ed1ab_0
zipp,3.19.2,pyhd8ed1ab_0
zlib-ng,2.0.7,hcfcfb64_0
zlib,1.2.13,h2466b09_6
zstandard,0.22.0,py310he5e10e1_1
zstd,1.5.6,h0ea2cb4_0
